1 ; Max Aarons ; ENG ; DF ; Norwich City ; Premier League ; 22 ; 2000 ; 34 ; 32
2 ; Yunis Abdelhamid ; MAR ; DF ; Reims ; Ligue 1 ; 34 ; 1987 ; 34 ; 34
3 ; Salis Abdul Samed ; GHA ; MF ; Clermont Foot ; Ligue 1 ; 22 ; 2000 ; 31 ; 29
4 ; Laurent Abergel ; FRA ; MF ; Lorient ; Ligue 1 ; 29 ; 1993 ; 34 ; 34
5 ; Charles Abi ; FRA ; FW ; Saint-Étienne ; Ligue 1 ; 22 ; 2000 ; 1 ; 1
6 ; Dickson Abiama ; NGA ; FW ; Greuther Fürth ; Bundesliga ; 23 ; 1998 ; 24 ; 5
7 ; Matthis Abline ; FRA ; FW ; Rennes ; Ligue 1 ; 19 ; 2003 ; 7 ; 1
8 ; Tammy Abraham ; ENG ; FW ; Roma ; Serie A ; 24 ; 1997 ; 37 ; 36
9 ; Luis Abram ; PER ; DF ; Granada ; La Liga ; 26 ; 1996 ; 8 ; 6
10 ; Francesco Acerbi ; ITA ; DF ; Lazio ; Serie A ; 34 ; 1988 ; 30 ; 29
11 ; Ragnar Ache ; GER ; MFFW ; Eint Frankfurt ; Bundesliga ; 23 ; 1998 ; 13 ; 1
12 ; Mohamed Achi ; FRA ; MF ; Nantes ; Ligue 1 ; 20 ; 2002 ; 1 ; 0
13 ; Marcos Acuńa ; ARG ; DF ; Sevilla ; La Liga ; 30 ; 1991 ; 31 ; 26
14 ; Che Adams ; SCO ; FW ; Southampton ; Premier League ; 25 ; 1996 ; 30 ; 23
15 ; Tyler Adams ; USA ; MF ; RB Leipzig ; Bundesliga ; 23 ; 1999 ; 24 ; 12
16 ; Sargis Adamyan ; ARM ; FWMF ; Hoffenheim ; Bundesliga ; 29 ; 1993 ; 13 ; 2
17 ; Martin Adeline ; FRA ; MFFW ; Reims ; Ligue 1 ; 18 ; 2003 ; 8 ; 2
18 ; Amine Adli ; FRA ; FWMF ; Leverkusen ; Bundesliga ; 22 ; 2000 ; 25 ; 13
19 ; Yacine Adli ; FRA ; MFFW ; Bordeaux ; Ligue 1 ; 21 ; 2000 ; 36 ; 25
20 ; Michel Aebischer ; SUI ; MF ; Bologna ; Serie A ; 25 ; 1997 ; 12 ; 4
21 ; Felix Afena-Gyan ; GHA ; FWMF ; Roma ; Serie A ; 19 ; 2003 ; 17 ; 6
22 ; Martin Agirregabiria ; ESP ; DF ; Alavés ; La Liga ; 26 ; 1996 ; 24 ; 17
23 ; Julen Agirrezabala ; ESP ; GK ; Athletic Club ; La Liga ; 21 ; 2000 ; 4 ; 4
24 ; Lucien Agoume ; FRA ; MF ; Brest ; Ligue 1 ; 20 ; 2002 ; 27 ; 21
25 ; Kevin Agudelo ; COL ; MFFW ; Spezia ; Serie A ; 23 ; 1998 ; 23 ; 12
26 ; Nayef Aguerd ; MAR ; DF ; Rennes ; Ligue 1 ; 26 ; 1996 ; 31 ; 31
27 ; Sergio Agüero ; ARG ; FW ; Barcelona ; La Liga ; 33 ; 1988 ; 4 ; 2
28 ; Ruben Aguilar ; FRA ; DF ; Monaco ; Ligue 1 ; 29 ; 1993 ; 28 ; 22
29 ; Álvaro Aguirre ; ESP ; FW ; Rayo Vallecano ; La Liga ; 22 ; 2000 ; 1 ; 0
30 ; Naouirou Ahamada ; FRA ; MF ; Stuttgart ; Bundesliga ; 20 ; 2002 ; 3 ; 0
31 ; Anel Ahmedhodzic ; BIH ; DF ; Bordeaux ; Ligue 1 ; 23 ; 1999 ; 15 ; 15
32 ; Jean-Eudes Aholou ; CIV ; MF ; Strasbourg ; Ligue 1 ; 28 ; 1994 ; 25 ; 11
33 ; Joseph Aidoo ; GHA ; DF ; Celta Vigo ; La Liga ; 26 ; 1995 ; 32 ; 30
34 ; Ola Aina ; NGA ; DF ; Torino ; Serie A ; 25 ; 1996 ; 21 ; 17
35 ; Rayan Aďt Nouri ; FRA ; DF ; Wolves ; Premier League ; 20 ; 2001 ; 23 ; 20
36 ; Kristoffer Ajer ; NOR ; DF ; Brentford ; Premier League ; 24 ; 1998 ; 24 ; 23
37 ; Ludovic Ajorque ; REU ; FW ; Strasbourg ; Ligue 1 ; 28 ; 1994 ; 36 ; 31
38 ; Manuel Akanji ; SUI ; DF ; Dortmund ; Bundesliga ; 26 ; 1995 ; 26 ; 25
39 ; Carlos Akapo ; EQG ; DF ; Cádiz ; La Liga ; 29 ; 1993 ; 25 ; 21
40 ; Marley Aké ; FRA ; MFFW ; Juventus ; Serie A ; 21 ; 2001 ; 4 ; 0
41 ; Nathan Aké ; NED ; DF ; Manchester City ; Premier League ; 27 ; 1995 ; 14 ; 10
42 ; Ilias Akhomach ; ESP ; FW ; Barcelona ; La Liga ; 18 ; 2004 ; 2 ; 2
43 ; Maghnes Akliouche ; FRA ; MFFW ; Monaco ; Ligue 1 ; 20 ; 2002 ; 7 ; 0
44 ; Paul Akouokou ; CIV ; MF ; Betis ; La Liga ; 24 ; 1997 ; 8 ; 6
